model_id,chunk_tokens,sequence_length,phase,mode,family,chunk_index,token_index,layer_index,atom_index,trace_interval_index,start_time_ms,end_time_ms,duration_ms
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,2,5,17,106695384.51075998,106695384.65923998,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,3,0,17,106695384.65923998,106695384.80771998,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,3,1,17,106695384.80771998,106695384.95619997,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,3,2,17,106695384.95619997,106695385.10467997,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,3,3,17,106695385.10467997,106695385.25315997,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,3,4,17,106695385.25315997,106695385.40163997,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,3,5,17,106695385.40163997,106695385.55011997,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,4,0,17,106695385.55011997,106695385.69859996,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,4,1,17,106695385.69859996,106695385.84707996,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,4,2,17,106695385.84707996,106695385.99555996,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,4,3,17,106695385.99555996,106695386.14403996,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,4,4,17,106695386.14403996,106695386.29251996,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,4,5,17,106695386.29251996,106695386.44099995,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,5,0,17,106695386.44099995,106695386.58947995,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,5,1,17,106695386.58947995,106695386.73795995,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,5,2,17,106695386.73795995,106695386.88643995,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,5,3,17,106695386.88643995,106695387.03491995,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,5,4,17,106695387.03491995,106695387.18339995,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,5,5,17,106695387.18339995,106695387.33187994,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,6,0,17,106695387.33187994,106695387.48035994,0.14847999811172485
